    ,APT_GROUP                  ,USED_TECHNIQUES_ID
 26 ,BlackOasis (G0063)         ,['T1027']
 27 ,BlackTech (G0098)          ,"['T1190', 'T1203', 'T1574.002', 'T1036.002', 'T1106', 'T1046', 'T1588.002', 'T1588.003', 'T1588.004', 'T1566.001', 'T1566.002', 'T1021.004', 'T1204.001', 'T1204.002']"
 28 ,Blue Mockingbird (G0108)   ,"['T1134', 'T1059.001', 'T1059.003', 'T1543.003', 'T1546.003', 'T1190', 'T1574.012', 'T1036.005', 'T1112', 'T1027', 'T1588.002', 'T1003.001', 'T1090', 'T1021.001', 'T1021.002', 'T1496', 'T1053.005', 'T1218.010', 'T1218.011', 'T1082', 'T1569.002', 'T1047']"
 29 ,Bouncing Golf (G0097)      ,['T1655.001']
 30 ,Cleaver (G0003)            ,"['T1557.002', 'T1587.001', 'T1585.001', 'T1588.002', 'T1003.001']"
 31 ,Cobalt Group (G0080)       ,"['T1548.002', 'T1071.001', 'T1071.004', 'T1547.001', 'T1037.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1543.003', 'T1573.002', 'T1203', 'T1068', 'T1070.004', 'T1105', 'T1559.002', 'T1046', 'T1027.010', 'T1588.002', 'T1566.001', 'T1566.002', 'T1055', 'T1572', 'T1219', 'T1021.001', 'T1053.005', 'T1518.001', 'T1195.002', 'T1218.003', 'T1218.008', 'T1218.010', 'T1204.001', 'T1204.002', 'T1220']"
 32 ,BRONZE BUTLER (G0060)      ,"['T1548.002', 'T1087.002', 'T1071.001', 'T1560.001', 'T1547.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.006', 'T1132.001', 'T1005', 'T1039', 'T1140', 'T1189', 'T1573.001', 'T1203', 'T1083', 'T1574.002', 'T1562.001', 'T1070.004', 'T1105', 'T1036', 'T1036.002', 'T1036.005', 'T1027.001', 'T1027.003', 'T1588.002', 'T1003.001', 'T1566.001', 'T1018', 'T1053.002', 'T1053.005', 'T1113', 'T1518', 'T1007', 'T1124', 'T1080', 'T1550.003', 'T1204.002', 'T1102.001']"
 33 ,CopyKittens (G0052)        ,"['T1560.001', 'T1560.003', 'T1059.001', 'T1564.003', 'T1588.002', 'T1090', 'T1553.002', 'T1218.011']"
 34 ,Carbanak (G0008)           ,"['T1543.003', 'T1562.004', 'T1036.004', 'T1036.005', 'T1588.002', 'T1219', 'T1218.011', 'T1078', 'T1102.002']"
 35 ,Dark Caracal (G0070)       ,"['T1071.001', 'T1547.001', 'T1059.003', 'T1005', 'T1189', 'T1083', 'T1027', 'T1027.002', 'T1566.003', 'T1113', 'T1218.001', 'T1204.002']"
 36 ,Chimera (G0114)            ,"['T1087.001', 'T1087.002', 'T1071.001', 'T1071.004', 'T1560.001', 'T1119', 'T1217', 'T1110.003', 'T1110.004', 'T1059.001', 'T1059.003', 'T1213.002', 'T1039', 'T1074.001', 'T1074.002', 'T1482', 'T1114.001', 'T1114.002', 'T1041', 'T1567.002', 'T1133', 'T1083', 'T1589.001', 'T1574.002', 'T1070.001', 'T1070.004', 'T1070.006', 'T1105', 'T1570', 'T1036.005', 'T1556.001', 'T1111', 'T1106', 'T1046', 'T1135', 'T1027.010', 'T1588.002', 'T1003.003', 'T1201', 'T1069.001', 'T1057', 'T1572', 'T1012', 'T1021.001', 'T1021.002', 'T1021.006', 'T1018', 'T1053.005', 'T1082', 'T1016', 'T1049', 'T1033', 'T1007', 'T1569.002', 'T1124', 'T1550.002', 'T1078', 'T1078.002', 'T1047']"
 37 ,Confucius (G0142)          ,"['T1583.006', 'T1071.001', 'T1119', 'T1547.001', 'T1059.001', 'T1059.005', 'T1041', 'T1567.002', 'T1203', 'T1083', 'T1105', 'T1566.001', 'T1566.002', 'T1053.005', 'T1218.005', 'T1082', 'T1221', 'T1204.001', 'T1204.002']"
 38 ,DarkVishnya (G0105)        ,"['T1110', 'T1059.001', 'T1543.003', 'T1200', 'T1046', 'T1135', 'T1040', 'T1571', 'T1588.002', 'T1219']"
 39 ,CURIUM (G1012)             ,"['T1005', 'T1585.001', 'T1566.003', 'T1204.002']"
 40 ,Darkhotel (G0012)          ,"['T1547.001', 'T1059.003', 'T1140', 'T1189', 'T1573.001', 'T1203', 'T1083', 'T1105', 'T1056.001', 'T1036.005', 'T1027', 'T1566.001', 'T1057', 'T1091', 'T1518.001', 'T1553.002', 'T1082', 'T1016', 'T1124', 'T1080', 'T1204.002', 'T1497', 'T1497.001', 'T1497.002']"
 41 ,Earth Lusca (G1006)        ,"['T1548.002', 'T1098.004', 'T1583.001', 'T1583.004', 'T1583.006', 'T1595.002', 'T1560.001', 'T1547.012', 'T1059.001', 'T1059.005', 'T1059.006', 'T1059.007', 'T1584.004', 'T1584.006', 'T1543.003', 'T1140', 'T1482', 'T1189', 'T1567.002', 'T1190', 'T1210', 'T1574.002', 'T1036.005', 'T1112', 'T1027', 'T1027.003', 'T1588.001', 'T1588.002', 'T1003.001', 'T1003.006', 'T1566.002', 'T1057', 'T1090', 'T1018', 'T1053', 'T1608.001', 'T1218.005', 'T1016', 'T1049', 'T1033', 'T1007', 'T1204.001', 'T1204.002', 'T1047']"
 42 ,DarkHydrus (G0079)         ,"['T1059.001', 'T1187', 'T1564.003', 'T1588.002', 'T1566.001', 'T1221', 'T1204.002']"
 43 ,Ember Bear (G1003)         ,"['T1059.001', 'T1059.003', 'T1059.007', 'T1203', 'T1562.001', 'T1105', 'T1112', 'T1027', 'T1027.001', 'T1027.002', 'T1027.010', 'T1588.002', 'T1588.003', 'T1566.001', 'T1566.002', 'T1553.002', 'T1218.002', 'T1204.001', 'T1204.002', 'T1102']"
 44 ,Deep Panda (G0009)         ,"['T1059.001', 'T1546.008', 'T1564.003', 'T1027.005', 'T1057', 'T1021.002', 'T1018', 'T1505.003', 'T1218.010', 'T1047']"
 45 ,Dragonfly (G0035)          ,"['T1087.002', 'T1098', 'T1583.001', 'T1583.003', 'T1595.002', 'T1071.002', 'T1560', 'T1547.001', 'T1110', 'T1110.002', 'T1059', 'T1059.001', 'T1059.003', 'T1059.006', 'T1584.004', 'T1136.001', 'T1005', 'T1074.001', 'T1189', 'T1114.002', 'T1190', 'T1203', 'T1210', 'T1133', 'T1083', 'T1187', 'T1591.002', 'T1564.002', 'T1562.004', 'T1070.001', 'T1070.004', 'T1105', 'T1036', 'T1112', 'T1135', 'T1588.002', 'T1003.002', 'T1003.003', 'T1003.004', 'T1069.002', 'T1566.001', 'T1598.002', 'T1598.003', 'T1012', 'T1021.001', 'T1018', 'T1053.005', 'T1113', 'T1505.003', 'T1608.004', 'T1195.002', 'T1016', 'T1033', 'T1221', 'T1204.002', 'T1078']"
 46 ,Elderwood (G0066)          ,"['T1189', 'T1203', 'T1105', 'T1027', 'T1027.002', 'T1566.001', 'T1566.002', 'T1204.001', 'T1204.002']"
 47 ,Ferocious Kitten (G0137)   ,"['T1583.001', 'T1036.002', 'T1036.005', 'T1588.002', 'T1566.001', 'T1204.002']"
 48 ,FIN10 (G0051)              ,"['T1547.001', 'T1059.001', 'T1059.003', 'T1070.004', 'T1570', 'T1588.002', 'T1021.001', 'T1053.005', 'T1033', 'T1078', 'T1078.003']"
 49 ,Equation (G0020)           ,"['T1480.001', 'T1564.005', 'T1120', 'T1542.002']"
 50 ,Evilnum (G0120)            ,"['T1548.002', 'T1059.007', 'T1555', 'T1574.001', 'T1070.004', 'T1105', 'T1566.002', 'T1219', 'T1539', 'T1204.001', 'T1497.001']"
 51 ,FIN5 (G0053)               ,"['T1119', 'T1110', 'T1059', 'T1074.001', 'T1133', 'T1070.001', 'T1070.004', 'T1588.002', 'T1090.002', 'T1018', 'T1078']"
 52 ,EXOTIC LILY (G1011)        ,"['T1583.001', 'T1585.001', 'T1585.002', 'T1203', 'T1589.002', 'T1566.001', 'T1566.002', 'T1566.003', 'T1597', 'T1593.001', 'T1594', 'T1608.001', 'T1204.001', 'T1204.002', 'T1102']"
 53 ,FIN7 (G0046)               ,"['T1583.001', 'T1583.006', 'T1071.004', 'T1547.001', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1543.003', 'T1486', 'T1005', 'T1587.001', 'T1546.011', 'T1567.002', 'T1210', 'T1008', 'T1105', 'T1559.002', 'T1036.004', 'T1036.005', 'T1571', 'T1027.001', 'T1027.010', 'T1588.002', 'T1069.002', 'T1566.001', 'T1566.002', 'T1219', 'T1021.001', 'T1021.004', 'T1021.005', 'T1091', 'T1053.005', 'T1113', 'T1608.001', 'T1608.004', 'T1558.003', 'T1553.002', 'T1195.002', 'T1218.005', 'T1218.011', 'T1033', 'T1204.001', 'T1204.002', 'T1078', 'T1125', 'T1497.002', 'T1102.002', 'T1047']"
 54 ,FIN13 (G1016)              ,"['T1134.003', 'T1087', 'T1087.002', 'T1098', 'T1071.001', 'T1560.001', 'T1547.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1136.001', 'T1005', 'T1565', 'T1074.001', 'T1140', 'T1587.001', 'T1190', 'T1133', 'T1083', 'T1657', 'T1589', 'T1590.004', 'T1564.001', 'T1574.002', 'T1105', 'T1056.001', 'T1036', 'T1036.004', 'T1036.005', 'T1556', 'T1046', 'T1135', 'T1588.002', 'T1003.001', 'T1003.002', 'T1003.003', 'T1069', 'T1572', 'T1090.001', 'T1021.001', 'T1021.002', 'T1021.004', 'T1021.006', 'T1053.005', 'T1505.003', 'T1082', 'T1016', 'T1016.001', 'T1049', 'T1552.001', 'T1550.002', 'T1078.001', 'T1047']"
 55 ,Fox Kitten (G0117)         ,"['T1087.001', 'T1087.002', 'T1560.001', 'T1217', 'T1110', 'T1059', 'T1059.001', 'T1059.003', 'T1136.001', 'T1555.005', 'T1530', 'T1213', 'T1005', 'T1039', 'T1585', 'T1585.001', 'T1546.008', 'T1190', 'T1210', 'T1083', 'T1105', 'T1036.004', 'T1036.005', 'T1046', 'T1027', 'T1027.010', 'T1003.001', 'T1003.003', 'T1572', 'T1090', 'T1012', 'T1021.001', 'T1021.002', 'T1021.004', 'T1021.005', 'T1018', 'T1053.005', 'T1505.003', 'T1552.001', 'T1078', 'T1102']"
 56 ,FIN4 (G0085)               ,"['T1071.001', 'T1059.005', 'T1114.002', 'T1564.008', 'T1056.001', 'T1056.002', 'T1566.001', 'T1566.002', 'T1090.003', 'T1204.001', 'T1204.002', 'T1078']"
 57 ,FIN6 (G0037)               ,"['T1134', 'T1087.002', 'T1560', 'T1560.003', 'T1119', 'T1547.001', 'T1110.002', 'T1059', 'T1059.001', 'T1059.003', 'T1059.007', 'T1555', 'T1555.003', 'T1213', 'T1005', 'T1074.002', 'T1573.002', 'T1048.003', 'T1068', 'T1562.001', 'T1070.004', 'T1036.004', 'T1046', 'T1095', 'T1027.010', 'T1588.002', 'T1003.001', 'T1003.003', 'T1566.001', 'T1566.003', 'T1572', 'T1021.001', 'T1018', 'T1053.005', 'T1553.002', 'T1569.002', 'T1204.002', 'T1078', 'T1102', 'T1047']"
 58 ,FIN8 (G0061)               ,"['T1134.001', 'T1071.001', 'T1560.001', 'T1059.001', 'T1059.003', 'T1486', 'T1074.002', 'T1482', 'T1573.002', 'T1546.003', 'T1048.003', 'T1068', 'T1070.001', 'T1070.004', 'T1105', 'T1112', 'T1027.010', 'T1588.002', 'T1588.003', 'T1003.001', 'T1566.001', 'T1566.002', 'T1055.004', 'T1021.001', 'T1021.002', 'T1018', 'T1053.005', 'T1518.001', 'T1082', 'T1016.001', 'T1033', 'T1204.001', 'T1204.002', 'T1078', 'T1102', 'T1047']"
 59 ,GCMAN (G0036)              ,"['T1021.004', 'T1021.005']"
 60 ,GOLD SOUTHFIELD (G0115)    ,"['T1059.001', 'T1190', 'T1133', 'T1027.010', 'T1566', 'T1219', 'T1113', 'T1195.002', 'T1199']"
 61 ,GALLIUM (G0093)            ,"['T1583.004', 'T1560.001', 'T1059.001', 'T1059.003', 'T1136.002', 'T1005', 'T1074.001', 'T1041', 'T1190', 'T1133', 'T1574.002', 'T1105', 'T1570', 'T1036.003', 'T1027', 'T1027.002', 'T1027.005', 'T1588.002', 'T1003.001', 'T1003.002', 'T1090.002', 'T1018', 'T1053.005', 'T1505.003', 'T1553.002', 'T1016', 'T1049', 'T1033', 'T1550.002', 'T1078', 'T1047']"
 62 ,Group5 (G0043)             ,"['T1070.004', 'T1056.001', 'T1027', 'T1113']"
 63 ,Gallmaker (G0084)          ,"['T1560.001', 'T1059.001', 'T1559.002', 'T1027', 'T1566.001', 'T1204.002']"
 64 ,HEXANE (G1001)             ,"['T1583.001', 'T1583.002', 'T1010', 'T1110', 'T1110.003', 'T1059.001', 'T1059.005', 'T1586.002', 'T1555', 'T1555.003', 'T1585.001', 'T1585.002', 'T1567.002', 'T1589', 'T1589.002', 'T1591.004', 'T1105', 'T1056.001', 'T1534', 'T1027.010', 'T1588.002', 'T1069.001', 'T1057', 'T1021.001', 'T1018', 'T1053.005', 'T1518', 'T1608.001', 'T1082', 'T1016', 'T1016.001', 'T1049', 'T1033', 'T1204.002', 'T1102.002']"
 65 ,Gamaredon Group (G0047)    ,"['T1583.001', 'T1071.001', 'T1119', 'T1020', 'T1547.001', 'T1059.001', 'T1059.003', 'T1059.005', 'T1485', 'T1005', 'T1039', 'T1025', 'T1491.001', 'T1140', 'T1568', 'T1041', 'T1083', 'T1564.003', 'T1562.001', 'T1070.004', 'T1105', 'T1559.001', 'T1534', 'T1036.005', 'T1112', 'T1106', 'T1027', 'T1027.001', 'T1027.004', 'T1027.010', 'T1137', 'T1120', 'T1566.001', 'T1057', 'T1021.005', 'T1053.005', 'T1113', 'T1608.001', 'T1218.005', 'T1218.011', 'T1082', 'T1016.001', 'T1033', 'T1080', 'T1221', 'T1204.002', 'T1102', 'T1047']"
 66 ,Inception (G0100)          ,"['T1071.001', 'T1547.001', 'T1059.001', 'T1059.005', 'T1555.003', 'T1005', 'T1573.001', 'T1203', 'T1083', 'T1027', 'T1588.002', 'T1069.002', 'T1566.001', 'T1057', 'T1090.003', 'T1518', 'T1218.005', 'T1218.010', 'T1082', 'T1221', 'T1204.002', 'T1102']"
 67 ,Gorgon Group (G0078)       ,"['T1547.001', 'T1547.009', 'T1059.001', 'T1059.003', 'T1059.005', 'T1140', 'T1564.003', 'T1562.001', 'T1105', 'T1112', 'T1106', 'T1588.002', 'T1566.001', 'T1055.002', 'T1055.012', 'T1204.002']"
 68 ,HAFNIUM (G0125)            ,"['T1098', 'T1583.003', 'T1583.006', 'T1071.001', 'T1560.001', 'T1059.001', 'T1059.003', 'T1136.002', 'T1132.001', 'T1005', 'T1114.002', 'T1567.002', 'T1190', 'T1083', 'T1592.004', 'T1589.002', 'T1590', 'T1590.005', 'T1564.001', 'T1105', 'T1095', 'T1003.001', 'T1003.003', 'T1057', 'T1018', 'T1505.003', 'T1218.011', 'T1016', 'T1016.001', 'T1033', 'T1078.003']"
 69 ,Ke3chang (G0004)           ,"['T1087.001', 'T1087.002', 'T1071.001', 'T1071.004', 'T1560', 'T1560.001', 'T1119', 'T1020', 'T1547.001', 'T1059', 'T1059.003', 'T1543.003', 'T1213.002', 'T1005', 'T1140', 'T1587.001', 'T1114.002', 'T1041', 'T1190', 'T1133', 'T1083', 'T1105', 'T1056.001', 'T1036.002', 'T1036.005', 'T1027', 'T1588.002', 'T1003.001', 'T1003.002', 'T1003.003', 'T1003.004', 'T1069.002', 'T1057', 'T1021.002', 'T1018', 'T1558.001', 'T1082', 'T1614.001', 'T1016', 'T1049', 'T1033', 'T1007', 'T1569.002', 'T1078', 'T1078.004']"
 70 ,Higaisa (G0126)            ,"['T1071.001', 'T1547.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1001.003', 'T1140', 'T1573.001', 'T1041', 'T1203', 'T1564.003', 'T1574.002', 'T1036.004', 'T1106', 'T1027', 'T1027.001', 'T1566.001', 'T1057', 'T1090.001', 'T1053.005', 'T1029', 'T1082', 'T1016', 'T1124', 'T1204.002', 'T1220']"
